ObjectID,X,Y,School,City,GradeLevels
299,2987851.939252,832984.50360738,CEDAR GROVE ELEMENTARY,Kingsport,"PK,K,1,2,3,4"
300,1802079.62648272,598858.83873904,CEDAR GROVE ELEMENTARY,Smyrna,"PK,K,1,2,3,4,5"
301,1860892.12808201,557521.00154732,CEDAR GROVE SCHOOL,Murfreesboro,N
302,1829968.52105093,499430.96806217,CEDAR HALL SCHOOL,Christiana,"K,1,2,3,4,5,6,7,8,9,10,11,12"
303,2536039.02965517,580314.93991205,CEDAR SPRINGS WEEKDAY SCHOOL/1ST COOP,Knoxville,"PK,K"
304,2973265.89597169,838527.40325133,CEDAR VIEW CHRISTIAN SCHOOL,Kingsport,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
306,2062488.28152944,435539.23183795,CEDARS OF LEBANON ACADEMY,McMinnville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
307,2062488.28152944,435539.23183795,CEDARS OF LEBANON ACADEMY,Mc Minnville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
308,1880070.5537207,682722.62838101,CEDARS PREPARATORY ACADEMY,Lebanon,"PK,K,1,2,3"
309,2113194.72100161,803338.16536468,CELINA K-8,Celina,"PK,K,1,2,3,4,5,6,7,8"
310,1552250.7995017,642668.05182928,CENTENNIAL ELEMENTARY,Dickson,"PK,K,1,2,3,4,5"
311,1725020.04886167,582241.94023516,CENTENNIAL HIGH SCHOOL,Franklin,"9,10,11,12,N"
312,2000330.89718901,500014.12765701,CENTERTOWN ELEMENTARY,McMinnville,"K,1,2,3,4,5,6,7,8,P4"
313,2805954.79296813,649833.5159141,CENTERVIEW ELEMENTARY,Newport,"K,1,2,3,4,5,6,7,8,P4"
314,1533017.01587376,531548.10855217,CENTERVILLE ELEMENTARY,Centerville,"PK,K,1,2"
315,1532386.8074885,531571.54616934,CENTERVILLE INTERMEDIATE SCHOOL,Centerville,"3,4,5"
316,3042517.99087871,743069.73280181,CENTRAL BAPTIST CHURCH KINDERGARTEN EARLY EDUCATION PROGRAM,Johnson City,K
317,808864.87424953,332960.63522975,CENTRAL BAPTIST SCHOOL,Memphis,"K,1,2,3,4,5,6,7,8,9,10,11,12"
318,852230.59985453,280958.0048627,CENTRAL DAY SCHOOL,Collierville,"K,1,2,3,4,5,6,7,8"
319,1299608.278952,626739.82991375,CENTRAL ELEMENTARY,Bruceton,"PK,K,1,2,3,4,5"
320,3057257.8861666,734030.07048319,CENTRAL ELEMENTARY,Johnson City,"K,1,2,3,4,5,6,7,8"
321,2388505.68621994,647311.64561804,CENTRAL ELEMENTARY,Wartburg,"PK,K,1,2,3,4,5"
322,1958769.27165103,800035.14113085,CENTRAL ELEMENTARY,Lafayette,"2,3"
323,3089608.20585116,842034.63619372,CENTRAL ELEMENTARY,Bristol,"PK,K,1,2,3,4,5,6"
